id,jp,romaji,en,tags,pattern,note
001,"住所はここです。","Jūsho wa koko desu.","This is the address.","admin;address","住所","—"
038,"緊急連絡先は〇〇です。","Kinkyū renraku-saki wa 〇〇 desu.","Emergency contact is ~.","admin;forms","緊急","—"
039,"住所変更を届けたいです。","Jūsho henkō o todoketai desu.","I’d like to file a change of address.","admin;address","変更届","—"
040,"転送届はどこで出せますか。","Tensō todoke wa doko de dasemasu ka?","Where do I submit a mail forwarding form?","admin;address","転送届","—"
041,"この欄はどう書けばいいですか。","Kono ran wa dō kakeba ii desu ka?","How do I fill this field?","admin;forms","欄","—"
042,"漢字が書けないので、ローマ字でもいいですか。","Kanji ga kakenai node, rōmaji demo ii desu ka?","I can’t write kanji—may I use romaji?","admin;forms","ローマ字","—"
043,"印鑑は必要ですか。","Inkan wa hitsuyō desu ka?","Is a seal required?","admin;forms","印鑑","—"
044,"返金はいつになりますか。","Henkin wa itsu ni narimasu ka?","When will the refund be processed?","admin;payment","返金","—"
045,"口座番号を確認します。","Kōza bangō o kakunin shimasu.","I’ll confirm the account number.","admin;atm","口座番号","—"
046,"窓口はどこですか。","Madoguchi wa doko desu ka?","Where is the service counter?","admin;counter","窓口","—"
047,"番号札を取ればいいですか。","Bangō-fuda o toreba ii desu ka?","Should I take a ticket number?","admin;counter","番号札","—"
048,"順番が来たら呼ばれますか。","Junban ga kitara yobaremasu ka?","Will I be called when it’s my turn?","admin;counter","順番","—"
049,"待ち時間はどのくらいですか。","Machi jikan wa dono kurai desu ka?","How long is the wait?","admin;counter","待ち時間","—"
050,"支払い期限はいつですか。","Shiharai kigen wa itsu desu ka?","What’s the payment deadline?","admin;payment","期限","—"
051,"延長はできますか。","Enchō wa dekimasu ka?","Can I get an extension?","admin;payment","延長","—"
052,"領収書の宛名は〇〇でお願いします。","Ryōshūsho no atena wa 〇〇 de onegai shimasu.","Receipt made out to ~, please.","admin;payment","宛名","—"
053,"明細をいただけますか。","Meisai o itadakemasu ka?","May I have an itemized receipt?","admin;payment","明細","—"
054,"コンビニ支払いはできますか。","Konbini shiharai wa dekimasu ka?","Can I pay at the convenience store?","admin;payment","コンビニ","—"
055,"バーコードで支払います。","Bākōdo de shiharaimasu.","I’ll pay by barcode.","admin;payment","バーコード","—"
056,"この伝票で大丈夫ですか。","Kono denpyō de daijōbu desu ka?","Is this the right slip?","admin;forms","伝票","—"
057,"身分証はコピーでも大丈夫ですか。","Mibunshō wa kopī demo daijōbu desu ka?","Is a copy of my ID okay?","admin;id","コピー","—"
058,"原本が必要ですか。","Genpon ga hitsuyō desu ka?","Do you need the original?","admin;id","原本","—"
059,"受け取りのサインはここですか。","Uketori no sain wa koko desu ka?","Is this where I sign for pickup?","admin;pickup","サイン","—"
060,"控えをいただけますか。","Hikae o itadakemasu ka?","May I get a copy?","admin;counter","控え","—"
061,"到着の連絡をいただけますか。","Tōchaku no renraku o itadakemasu ka?","Could you notify me upon arrival?","admin;delivery","到着連絡","—"
062,"持ち込みは可能ですか。","Mochikomi wa kanō desu ka?","Can I bring it in myself?","admin;counter","持ち込み","—"
063,"申請はオンラインでも可能ですか。","Shinsei wa onrain demo kanō desu ka?","Is online application possible?","admin;forms","申請","—"
064,"提出期限はいつですか。","Teishutsu kigen wa itsu desu ka?","When is the submission deadline?","admin;forms","提出期限","—"
065,"必要書類はこれで全部ですか。","Hitsuyō shorui wa kore de zenbu desu ka?","Is this all the required documents?","admin;forms","必要書類","—"
066,"書き直してもいいですか。","Kakinaoshite mo ii desu ka?","May I rewrite it?","admin;forms","書き直し","—"
067,"鉛筆でも大丈夫ですか。","Enpitsu demo daijōbu desu ka?","Is pencil okay?","admin;forms","筆記具","—"
068,"ボールペンでお願いします。","Bōru-pen de onegai shimasu.","Please use a ballpoint pen.","admin;forms","筆記具","—"
069,"控室はどこですか。","Hikae-shitsu wa doko desu ka?","Where is the waiting room?","admin;counter","控室","—"
070,"案内表示はどこにありますか。","Annai hyōji wa doko ni arimasu ka?","Where are the information signs?","admin;counter","案内表示","—"
071,"窓口の営業時間はいつですか。","Madoguchi no eigyō jikan wa itsu desu ka?","What are the counter hours?","admin;counter","営業時間","—"
072,"到着予定は〇日です。","Tōchaku yotei wa 〇-nichi desu.","Scheduled to arrive on ~.","admin;delivery","到着予定","—"
073,"不在の場合は置き配でお願いします。","Fuzai no baai wa oki-hai de onegai shimasu.","If not home, please leave at door.","admin;delivery","置き配","—"
074,"書類をスキャンして送ります。","Shorui o sukyan shite okurimasu.","I’ll scan and send the documents.","admin;forms","スキャン","—"
075,"控えのメールを送ってください。","Hikae no mēru o okutte kudasai.","Please send a confirmation email.","admin;process","確認メール","—"
076,"通知はSMSでも大丈夫です。","Tsūchi wa SMS demo daijōbu desu.","SMS notification is fine.","admin;process","通知","—"
077,"支払い方法を変更できますか。","Shiharai hōhō o henkō dekimasu ka?","Can I change the payment method?","admin;payment","変更","—"
078,"口座振替にできますか。","Kōza furikae ni dekimasu ka?","Can I set up auto debit?","admin;payment","口座振替","—"
079,"ICカードの残高をチャージしたいです。","IC kādo no zandaka o chāji shitai desu.","I want to top up my IC balance.","admin;payment","チャージ","—"
080,"チャージはどこでできますか。","Chāji wa doko de dekimasu ka?","Where can I top up?","admin;payment","チャージ","—"
081,"この明細のここは何を意味しますか。","Kono meisai no koko wa nani o imi shimasu ka?","What does this part of the statement mean?","admin;payment","明細","—"
082,"金額に間違いがあると思います。","Kingaku ni machigai ga aru to omoimasu.","I think the amount is wrong.","admin;payment","金額","—"
083,"訂正をお願いできますか。","Teisei o onegai dekimasu ka?","Could you correct it?","admin;process","訂正","—"
084,"提出先はこちらで合っていますか。","Teishutsu-saki wa kochira de atte imasu ka?","Is this the right submission desk?","admin;forms","提出先","—"
085,"予約時間を変更できますか。","Yoyaku jikan o henkō dekimasu ka?","Can I change the reservation time?","admin;counter","予約時間","—"
086,"キャンセルは可能ですか。","Kyanseru wa kanō desu ka?","Is cancellation possible?","admin;counter","キャンセル","—"
087,"遅れそうなら連絡します。","Okuresō nara renraku shimasu.","I’ll contact you if I’m late.","admin;process","遅れ","—"
088,"提出は郵送でも受け付けていますか。","Teishutsu wa yūsō demo uketsukete imasu ka?","Do you accept submissions by mail?","admin;forms","郵送","—"
089,"封筒は必要ですか。","Fūtō wa hitsuyō desu ka?","Do I need an envelope?","admin;forms","封筒","—"
090,"こちらにクリップで留めますか。","Kochira ni kurippu de tomemasu ka?","Should I clip it here?","admin;forms","クリップ","—"
091,"コピー機はどこですか。","Kopī-ki wa doko desu ka?","Where is the copier?","admin;facility","コピー機","—"
092,"住民票はどこでもらえますか。","Jūminhyō wa doko de moraemasu ka?","Where can I get a residence certificate?","admin;forms","住民票","—"
093,"発行手数料はいくらですか。","Hakkō tesūryō wa ikura desu ka?","What is the issuance fee?","admin;forms","発行手数料","—"
094,"窓口の番号は何番ですか。","Madoguchi no bangō wa nan-ban desu ka?","Which counter number?","admin;counter","番号","—"
095,"順番が来たら、この画面で呼ばれますか。","Junban ga kitara, kono gamen de yobaremasu ka?","Will this screen call me when it’s my turn?","admin;counter","画面呼出","—"
096,"提出物を受け取りました。","Teishutsu-butsu o uketorimashita.","Received the submission.","admin;process","受領","Staff"
097,"こちらが受領書です。","Kochira ga juryō-sho desu.","Here is the receipt.","admin;process","受領書","Staff"
098,"本人確認のため、身分証をご提示ください。","Hon’nin kakunin no tame, mibunshō o go-teiji kudasai.","For ID check, please show your ID.","admin;counter","本人確認","Staff"
099,"以上で手続き完了です。","Ijō de tetsuzuki kanryō desu.","That completes the procedure.","admin;process","完了","Staff"
100,"何かご不明点はございますか。","Nanika go-fumei ten wa gozaimasu ka?","Any questions?","admin;counter","不明点","Staff"

