id,jp,romaji,en,tags,pattern,note
067,"エスカレーターはどこですか。","Esukareetā wa doko desu ka?","Where is the escalator?","directions;facility","~はどこですか","—"
068,"この道をまっすぐ行って、二つ目の角を右です。","Kono michi o massugu itte, futatsu-me no kado o migi desu.","Go straight on this road and turn right at the second corner.","directions;multi","連続指示","—"
069,"交差点を左に曲がって、橋を渡ってください。","Kōsaten o hidari ni magatte, hashi o watatte kudasai.","Turn left at the intersection and cross the bridge.","directions;multi","連続指示","—"
070,"その後、右側にコンビニが見えます。","Sono ato, migigawa ni konbini ga miemasu.","After that, you’ll see a convenience store on the right.","directions;landmark","見える","—"
071,"この線路沿いに歩いてください。","Kono senro-zoi ni aruite kudasai.","Walk along these train tracks.","directions;path","~沿いに","—"
072,"川に沿って十分くらいです。","Kawa ni sotte jūppun kurai desu.","It’s about ten minutes along the river.","directions;time","~に沿って","—"
073,"階段を降りて左です。","Kaidan o orite hidari desu.","Go down the stairs and left.","directions;facility","動詞て+方向","—"
074,"エレベーターで三階に上がってください。","Erebeetā de san-gai ni agatte kudasai.","Please take the elevator to the third floor.","directions;facility","場所+に上がって","—"
075,"次の横断歩道を渡ってください。","Tsugi no ōdan-hodō o watatte kudasai.","Cross the next crosswalk.","directions;give","横断歩道","—"
076,"ここから歩けますか。","Koko kara arukemasu ka?","Can I walk from here?","directions;feasibility","可能形","—"
077,"タクシーのほうが早いですか。","Takushii no hō ga hayai desu ka?","Is taxi faster?","directions;compare","比較","—"
078,"一番近い出口はどこですか。","Ichiban chikai deguchi wa doko desu ka?","Where is the closest exit?","directions;station","一番近い~","—"
079,"このバスは○駅に行きますか。","Kono basu wa 〇-eki ni ikimasu ka?","Does this bus go to X station?","directions;bus","この~は~に行きますか","Replace 〇"
080,"次で降ります。ボタンを押します。","Tsugi de orimasu. Botan o oshimasu.","I get off at the next stop. I’ll press the button.","directions;bus","宣言","—"
081,"この住所はどの辺ですか。","Kono jūsho wa dono hen desu ka?","What area is this address in?","directions;address","どの辺","—"
082,"この場所までどのルートが早いですか。","Kono basho made dono rūto ga hayai desu ka?","Which route is fastest to this place?","directions;route","どのルートが~","—"
083,"地図を見ながら説明していただけますか。","Chizu o minagara setsumei shite itadakemasu ka?","Could you explain while looking at the map?","directions;ask","ながら+依頼","—"
084,"電波が弱いので、オフライン地図を使います。","Denpa ga yowai node, ofurain chizu o tsukaimasu.","Signal is weak, so I’ll use an offline map.","directions;meta","事情説明","—"
085,"英語が少しだけできます。","Eigo ga sukoshi dake dekimasu.","I can speak a little English.","directions;meta","自己紹介","Adjust as needed"
086,"日本語は勉強中です。","Nihongo wa benkyō-chū desu.","I’m studying Japanese.","directions;meta","自己紹介","—"
087,"写真を見せてもいいですか。","Shashin o misete mo ii desu ka?","May I show you a photo?","directions;ask","~てもいいですか","Landmark photo"
088,"この建物を探しています。","Kono tatemono o sagashite imasu.","I’m looking for this building.","directions;ask","~を探しています","—"
089,"この通りは一方通行ですか。","Kono tōri wa ippō-tsūkō desu ka?","Is this street one-way?","directions;road","交通","—"
090,"自転車でも行けますか。","Jitensha demo ikemasu ka?","Can I go by bicycle?","directions;feasibility","可能形","—"
091,"本当に助かりました。","Hontō ni tasukarimashita.","You’ve been a great help.","directions;close","感謝","—"
092,"わざわざありがとうございます。","Wazawaza arigatō gozaimasu.","Thank you for going out of your way.","directions;close","感謝","—"
093,"お忙しいところ、すみませんでした。","O-isogashii tokoro, sumimasen deshita.","Sorry to bother you while you’re busy.","directions;close","謝意","—"
094,"道に迷ってしまいました。","Michi ni mayotte shimaimashita.","I got lost.","directions;meta","状況説明","—"
095,"ここでタクシーを拾えますか。","Koko de takushii o hiroemasu ka?","Can I catch a taxi here?","directions;taxi","可能形","—"
096,"タクシー乗り場はどこですか。","Takushii noriba wa doko desu ka?","Where is the taxi stand?","directions;taxi","~はどこですか","—"
097,"道順をメモしてもいいですか。","Michi-jun o memo shite mo ii desu ka?","May I write down the directions?","directions;ask","~てもいいですか","—"
098,"ゆっくりで大丈夫です。","Yukkuri de daijōbu desu.","Slow is fine, no rush.","directions;confirm","配慮","—"
099,"このへんでおすすめの道はありますか。","Kono hen de osusume no michi wa arimasu ka?","Is there a recommended route around here?","directions;route","おすすめ","—"
100,"ありがとうございました。気をつけて帰ります。","Arigatō gozaimashita. Ki o tsukete kaerimasu.","Thank you. I’ll head back safely.","directions;close","締め","—"

