id,jp,romaji,en,tags,pattern,note
073,"ご協力をお願いいたします。","Go-kyōryoku o onegai itashimasu.","We kindly ask for your cooperation.","service;request","ご協力","—"
074,"恐れ入ります、順番が前後する場合がございます。","Osoreirimasu, junban ga zengo suru baai ga gozaimasu.","Pardon us, order may change.","service;notice","前後","—"
075,"ご案内まで今しばらくお待ちください。","Go-annai made ima shibaraku o-machi kudasai.","Please wait a little until we guide you.","service;staff","今しばらく","—"
076,"念のため、身分証をご提示ください。","Nen no tame, mibunshō o go-teiji kudasai.","Please show ID just in case.","service;request","身分証","—"
077,"確認できました。ありがとうございます。","Kakunin dekimashita. Arigatō gozaimasu.","Confirmed. Thank you.","service;staff","確認","—"
078,"お時間いただき、ありがとうございました。","O-jikan itadaki, arigatō gozaimashita.","Thank you for your time.","gratitude;close","時間","—"
079,"こちらで以上でございます。","Kochira de ijō de gozaimasu.","That will be all from us.","service;close","以上","—"
080,"引き続きご愛顧のほど、よろしくお願いいたします。","Hiki-tsuzuki go-aiko no hodo, yoroshiku onegai itashimasu.","We appreciate your continued patronage.","service;close","ご愛顧","—"
081,"ありがとう！","Arigatō!","Thanks!","casual;thanks","カジュアル","—"
082,"助かった！","Tasukatta!","That helped!","casual;thanks","カジュアル","—"
083,"ごめん！","Gomen!","Sorry!","casual;apology","カジュアル","—"
084,"気にしないで。","Ki ni shinaide.","Don’t worry about it.","casual;grace","カジュアル","—"
085,"いつもありがとう。","Itsumo arigatō.","Thanks as always.","casual;thanks","カジュアル","—"
086,"本当にありがとう。","Hontō ni arigatō.","Thanks a lot.","casual;thanks","カジュアル","—"
087,"大丈夫だよ。","Daijōbu da yo.","It’s okay.","casual;grace","カジュアル","—"
088,"助かる！","Taskaru!","That helps!","casual;thanks","カジュアル","—"
089,"ありがと、助かったよ。","Arigato, tasukatta yo.","Thanks, that helped.","casual;thanks","カジュアル","—"
090,"ごめんね、遅れた。","Gomen ne, okureta.","Sorry I’m late.","casual;apology","カジュアル","—"
091,"ありがとう、また今度お願い。","Arigatō, mata kondo onegai.","Thanks—let’s do it again sometime.","casual;close","カジュアル","—"
092,"手伝ってくれて、ありがとう。","Tetsudatte kurete, arigatō.","Thanks for the help.","casual;thanks","カジュアル","—"
093,"忙しいのに、ありがとう。","Isogashii no ni, arigatō.","Thanks even though you’re busy.","casual;thanks","カジュアル","—"
094,"助かったよ、ほんとに。","Tasukatta yo, hontoni.","Really, that helped.","casual;thanks","カジュアル","—"
095,"悪いね。","Warui ne.","Sorry about that.","casual;apology","カジュアル","—"
096,"お気遣いなく。","O-kizukai naku.","No need to fuss.","politeness;grace","お気遣いなく","—"
097,"恐れ入ります、こちらをお持ちします。","Osoreirimasu, kochira o o-mochi shimasu.","Pardon me, I’ll bring this.","service;staff","持ち","Staff"
098,"ありがたいお言葉です。","Arigatai o-kotoba desu.","I appreciate your words.","gratitude;thanks","ありがたい","—"
099,"ご厚意に感謝します。","Go-kōi ni kansha shimasu.","Thanks for your kindness.","gratitude;thanks","ご厚意","—"
100,"こちらこそ、今後ともよろしくお願いします。","Kochira koso, kongo tomo yoroshiku onegai shimasu.","Likewise—looking forward to working together.","politeness;close","今後とも","—"

