id,jp,romaji,en,tags,pattern,note
001,"はじめまして。〇〇と申します。","Hajimemashite. 〇〇 to mōshimasu.","Nice to meet you. I’m ~.","smalltalk;intro","自己紹介","Replace 〇〇"
067,"新しいお店、試してみたいですね。","Atarashii o-mise, tameshite mitai desu ne.","We should try a new place sometime.","smalltalk;invite","—","—"
068,"趣味の話、もっと聞きたいです。","Shumi no hanashi, motto kikitai desu.","I’d love to hear more about your hobby.","smalltalk;follow","—","—"
069,"この辺で好きな散歩コースはありますか。","Kono hen de suki na sanpo kōsu wa arimasu ka?","Any favorite walking routes around here?","smalltalk;local","—","—"
070,"よかったら、今度コーヒーでもどうですか。","Yokattara, kondo kōhī demo dō desu ka?","If you like, coffee sometime?","smalltalk;invite","—","—"
071,"少し風が強いですね。","Sukoshi kaze ga tsuyoi desu ne.","It’s a bit windy, isn’t it?","smalltalk;weather","—","—"
072,"暑さ（寒さ）に慣れましたか。","Atsusa (samusa) ni naremashita ka?","Got used to the heat (cold)?","smalltalk;season","—","—"
073,"花粉は大丈夫ですか。","Kafun wa daijōbu desu ka?","How’s hay fever for you?","smalltalk;season","—","—"
074,"休日はゆっくりできましたか。","Kyūjitsu wa yukkuri dekimashita ka?","Did you get to relax on your day off?","smalltalk;weekend","—","—"
075,"最近忙しかったですか。","Saikin isogashikatta desu ka?","Have you been busy?","smalltalk;check-in","—","—"
076,"のんびりできるといいですね。","Nonbiri dekiru to ii desu ne.","Hope you can take it easy.","smalltalk;grace","—","—"
077,"写真の話、面白いですね。","Shashin no hanashi, omoshiroi desu ne.","That photography topic is interesting.","smalltalk;rapport","—","—"
078,"よかったら、作品見せてください。","Yokattara, sakuhin misete kudasai.","If you’d like, show me your work.","smalltalk;rapport","—","—"
079,"またこのイベントで。","Mata kono ibento de.","See you at this event again.","smalltalk;close","—","—"
080,"歩くの、結構いい運動になりますよね。","Aruku no, kekkō ii undō ni narimasu yo ne.","Walking is pretty good exercise.","smalltalk;health","—","—"
081,"普段はどの辺で働いていますか。","Fudan wa dono hen de hataraite imasu ka?","Which area do you usually work in?","smalltalk;work","—","—"
082,"集中したい時はどこで過ごしますか。","Shūchū shitai toki wa doko de sugoshi masu ka?","Where do you go to focus?","smalltalk;habit","—","—"
083,"最近、何か始めましたか。","Saikin, nanika hajimemashita ka?","Started anything new lately?","smalltalk;hobby","—","—"
084,"写真散歩、今度一緒に行きませんか。","Shashin sanpo, kondo issho ni ikimasen ka?","Shall we do a photo walk sometime?","smalltalk;invite","—","—"
085,"よく行く喫茶店はどこですか。","Yoku iku kissaten wa doko desu ka?","What kissaten do you frequent?","smalltalk;local","—","—"
086,"静かな場所が好きです。","Shizuka na basho ga suki desu.","I like quiet places.","smalltalk;preference","—","—"
087,"賑やかなところもたまには好きです。","Nigiyaka na tokoro mo tama ni wa suki desu.","Lively spots are nice sometimes too.","smalltalk;preference","—","—"
088,"行列は平気なほうですか。","Gyōretsu wa heiki na hō desu ka?","Are you okay with lines?","smalltalk;habit","—","—"
089,"この季節、どこかおすすめはありますか。","Kono kisetsu, doko ka osusume wa arimasu ka?","Any seasonal recommendations?","smalltalk;season","—","—"
090,"またお会いできたら嬉しいです。","Mata o-ai dekitara ureshii desu.","I’d be glad to see you again.","smalltalk;close","—","—"
091,"今度の土日、動けそうですか。","Kondo no do-nichi, ugokesō desu ka?","Are you free this weekend?","smalltalk;invite","—","—"
092,"時間が合えば、短めでも。","Jikan ga aeba, mijikame demo.","Even short is fine if time matches.","smalltalk;invite","—","—"
093,"タイミングが合えば、また。","Taimingu ga aeba, mata.","If timing works, again sometime.","smalltalk;grace","—","—"
094,"無理のない範囲で。","Muri no nai han’i de.","Only if convenient.","smalltalk;grace","—","—"
095,"今日はこの辺で。","Kyō wa kono hen de.","Let’s call it a day.","smalltalk;close","—","—"
096,"また連絡しますね。","Mata renraku shimasu ne.","I’ll message again.","smalltalk;close","—","—"
097,"ありがとうございました。","Arigatō gozaimashita.","Thank you very much.","smalltalk;close","—","—"
098,"では、また。","Dewa, mata.","See you.","smalltalk;close","—","—"
099,"SNS交換しましょうか。","Esu-enuesu kōkan shimashō ka?","Shall we exchange socials?","smalltalk;contact","—","—"
100,"お話、楽しかったです。","O-hanashi, tanoshikatta desu.","I enjoyed our chat.","smalltalk;close","—","—"

